NAME;TEAM;POSITION;KDA (RATIO);KILLS (TOTAL);DEATHS (TOTAL);ASSISTS (TOTAL);KILL PARTICIPATION;CS (PER MINUTE);CS (TOTAL);MINUTES PLAYED;GAMES PLAYED;;;;;;;;;;;;;;
Safir;ROC;ADC;1.7;9;19;24;61.1%;7.6;1.651;217;6;;;;;;;;;;;;;;
Tabzz;ROC;ADC;3.5;31;22;45;70.4%;8.5;3.601;423;12;;;;;;;;;;;;;;
Eika;S04;Mid;1.9;33;52;66;61.9%;8.3;5.44;655;18;;;;;;;;;;;;;;
Gilius;S04;Jungle;2.0;17;50;84;63.1%;3.5;2.264;655;18;;;;;;;;;;;;;;
MrRalleZ;S04;ADC;4.2;68;27;46;71.3%;8.8;5.763;655;18;;;;;;;;;;;;;;
sprattel;S04;Support;2.4;4;47;107;69.4%;0.9;607;655;18;;;;;;;;;;;;;;
Steve;S04;Top;2.3;38;45;64;63.8%;7.9;5.203;655;18;;;;;;;;;;;;;;
Kobbe;SPY;ADC;3.1;36;32;62;73.7%;8.3;5.113;614;18;;;;;;;;;;;;;;
Nisbeth;SPY;Support;2.5;2;42;101;77.4%;1.1;674;614;18;;;;;;;;;;;;;;
Sencux;SPY;Mid;2.8;34;37;71;78.9%;8.1;4.998;614;18;;;;;;;;;;;;;;
Trashy;SPY;Jungle;2.6;26;36;67;69.9%;3.7;2.263;614;18;;;;;;;;;;;;;;
Wunder;SPY;Top;1.6;35;51;47;61.7%;8.8;5.38;614;18;;;;;;;;;;;;;;
Diamondprox;UOL;Jungle;3.5;10;8;18;56.0%;4.3;608;141;4;;;;;;;;;;;;;;
Djoko;UOL;Jungle;3.8;1;6;22;74.2%;4.6;272;60;2;;;;;;;;;;;;;;
Fox;UOL;Mid;4.2;65;40;101;67.2%;8.2;5.536;677;18;;;;;;;;;;;;;;
Hylissang;UOL;Support;3.7;10;49;173;74.1%;1.3;859;677;18;;;;;;;;;;;;;;
Loulex;UOL;Jungle;6.1;5;9;50;76.4%;3.7;840;228;6;;;;;;;;;;;;;;
Rudy;UOL;Jungle;3.9;17;17;49;70.2%;3.5;875;249;6;;;;;;;;;;;;;;
Steeelback;UOL;ADC;6.8;88;26;89;71.7%;9.3;6.316;677;18;;;;;;;;;;;;;;
Vizicsacsi;UOL;Top;3.4;51;48;114;66.8%;7.0;4.774;677;18;;;;;;;;;;;;;;
Cabochard;VIT;Top;5.7;57;29;108;74.7%;7.5;5.048;670;18;;;;;;;;;;;;;;
Hjarnan;VIT;ADC;6.4;69;25;90;71.9%;9.1;6.078;670;18;;;;;;;;;;;;;;
KaSing;VIT;Support;5.7;12;30;159;77.4%;1.4;923;670;18;;;;;;;;;;;;;;
Nukeduck;VIT;Mid;5.0;56;32;105;72.9%;8.6;5.745;670;18;;;;;;;;;;;;;;
Shook;VIT;Jungle;4.7;27;35;138;74.7%;3.9;2.599;670;18;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
