NAME;TEAM;POSITION;KDA (RATIO);KILLS (TOTAL);DEATHS (TOTAL);ASSISTS (TOTAL);KILL PARTICIPATION;CS (PER MINUTE);CS (TOTAL);MINUTES PLAYED;GAMES PLAYED;;;;;;;;;;;;;;
Airwaks;ROC;Jungle;1.9;49;96;132;71.3%;3.7;3.334;890;24;;;;;;;;;;;;;;
Betsy;ROC;Mid;2.3;100;118;174;71.0%;8.6;11.508;1.343;36;;;;;;;;;;;;;;
Memento;ROC;Jungle;2.4;25;41;75;75.8%;3.9;1.772;453;12;;;;;;;;;;;;;;
Parang;ROC;Top;2.0;67;124;183;64.8%;6.5;8.684;1.343;36;;;;;;;;;;;;;;
Raise;ROC;Support;2.3;9;129;288;76.9%;0.9;1.175;1.343;36;;;;;;;;;;;;;;
Steeelback;ROC;ADC;4.5;136;67;166;78.2%;9.1;12.28;1.343;36;;;;;;;;;;;;;;
Fox;S04;Mid;3.8;134;79;163;75.4%;8.9;12.031;1.353;37;;;;;;;;;;;;;;
Gilius;S04;Jungle;2.5;59;109;213;69.0%;4.0;5.37;1.353;37;;;;;;;;;;;;;;
MrRalleZ;S04;ADC;5.0;120;60;177;75.4%;8.8;11.879;1.353;37;;;;;;;;;;;;;;
sprattel;S04;Support;4.4;15;69;292;77.9%;0.9;1.256;1.353;37;;;;;;;;;;;;;;
Steve;S04;Top;2.9;66;92;204;68.5%;7.5;10.089;1.353;37;;;;;;;;;;;;;;
Kobbe;SPY;ADC;5.0;132;67;200;68.7%;9.4;11.729;1.253;36;;;;;;;;;;;;;;
Mikyx;SPY;Support;3.3;22;101;316;70.0%;1.0;1.314;1.253;36;;;;;;;;;;;;;;
Sencux;SPY;Mid;4.6;143;70;181;67.1%;8.6;10.823;1.253;36;;;;;;;;;;;;;;
Trashy;SPY;Jungle;6.2;72;58;289;74.7%;4.1;5.155;1.253;36;;;;;;;;;;;;;;
Wunder;SPY;Top;3.0;114;103;198;64.6%;7.9;9.844;1.253;36;;;;;;;;;;;;;;
Exileh;UOL;Mid;2.6;131;106;143;65.9%;8.6;10.649;1.245;36;;;;;;;;;;;;;;
Hylissang;UOL;Support;3.0;14;96;274;69.2%;0.8;989;1.245;36;;;;;;;;;;;;;;
Move;UOL;Jungle;2.8;58;94;206;63.5%;3.8;4.67;1.245;36;;;;;;;;;;;;;;
Veritas;UOL;ADC;3.9;109;73;178;69.0%;8.7;10.837;1.245;36;;;;;;;;;;;;;;
Vizicsacsi;UOL;Top;2.5;104;100;149;60.8%;7.7;9.565;1.245;36;;;;;;;;;;;;;;
Cabochard;VIT;Top;3.2;100;84;166;68.7%;7.9;10.77;1.371;37;;;;;;;;;;;;;;
KaSing;VIT;Support;3.9;18;75;273;75.2%;1.0;1.428;1.371;37;;;;;;;;;;;;;;
Mightybear;VIT;Jungle;2.6;31;44;84;68.0%;4.2;2.561;617;16;;;;;;;;;;;;;;
Nukeduck;VIT;Mid;3.1;98;88;179;71.6%;8.4;11.506;1.371;37;;;;;;;;;;;;;;
Police;VIT;ADC;4.9;88;51;164;74.8%;9.1;10.885;1.196;33;;;;;;;;;;;;;;
Reje;VIT;ADC;2.7;15;13;20;70.0%;8.3;1.452;176;4;;;;;;;;;;;;;;
Shook;VIT;Jungle;3.2;37;48;115;69.7%;3.6;2.722;754;21;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
