Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Lee Sin;0;3;1;2;33.3;1.4;3;3;02.07;10;08.20;137.07.00;04.26;12.1k;342;73.6%;17%;19%
Rengar;1;2;2;0;100;1.4;2;7;3;5.5;04.17;166.5;05.06;15.45k;432;59.5%;33.3%;21.5%
Mordekaiser;2;1;1;0;100;1.4;1;4;1;9;13.00;194;05.05;15.1k;393;81.3%;25%;20.5%
Ziggs;0;3;1;2;33.3;1.4;1;1;2;2;01.50;273.33.00;8.9;10.97k;357;75%;25%;22.4%
Evelynn;0;2;1;1;50;0.9;1;3;4;4.5;02.28;147;04.21;12.7k;329;65.2%;26.1%;18%
Vel'Koz;0;2;2;0;100;0.9;1;5.5;0;7.5;26.00.00;345.5;10.46;15.55k;471;68.4%;28.9%;23.9%
Lulu;0;2;0;2;0;0.9;2;1.5;3.5;2.5;01.13;288;07.01;13.35k;325;72.7%;27.3%;20.5%
Janna;0;2;1;1;50;0.9;2;0.5;1;4;04.50;23.5;00.59;9.2k;231;60%;6.7%;13.9%
Xerath;0;2;0;2;0;0.9;1;4;2;4;04.00;276.5;08.13;12.75k;356;80%;40%;22.9%
Renekton;0;2;1;1;50;0.9;1;2;2.5;4.5;03.00;349.5;8.5;16.25k;395;43.3%;13.3%;21.4%
Kalista;0;2;1;1;50;0.9;2;3;2.5;3;02.40;297.5;09.07;13.25k;404;66.7%;33.3%;23%
Aurelion Sol;0;2;1;1;50;0.9;1;5;2.5;4;04.00;266;08.19;13k;381;66.7%;37%;21.6%
Sejuani;0;1;0;1;0;0.5;1;0;6;1;00.17;122;04.39;8.5k;278;100%;0%;20%
Teemo;0;1;0;1;0;0.5;1;1;5;1;00.40;166;6.3;8.2k;311;25%;12.5%;19.9%
Karthus;0;1;0;1;0;0.5;1;3;6;8;02.23;345;08.14;16k;378;73.3%;20%;21.4%
Jinx;0;1;1;0;100;0.5;1;9;3;6;05.00;380;07.01;21.9k;404;68.2%;40.9%;22.1%
Kha'Zix;0;1;1;0;100;0.5;1;1;0;4;05.00;145;03.05;14.5k;305;50%;10%;17.6%
Jayce;1;0;0;0;-;0.5;-;-;-;-;-;-;-;-;-;-;-;-
Brand;0;1;0;1;0;0.5;1;1;3;3;01.33;215;09.09;8.7k;352;100%;25%;23.1%
Ahri;0;1;0;1;0;0.5;1;2;2;0;01.00;223;6.8;10k;305;100%;100%;21.1%
Poppy;0;1;0;1;0;0.5;1;0;2;1;00.50;184;06.29;9.2k;315;50%;0%;21.1%
Zed;1;0;0;0;-;0.5;-;-;-;-;-;-;-;-;-;-;-;-
