Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Veigar;0;2;0;2;0;0.9;1;3.5;5.5;5;01.55;290.5;08.02;13.5k;354;77.3%;31.8%;22.2%
Tristana;0;2;0;2;0;0.9;2;4;2.5;6.5;04.20;363;08.39;17.05k;375;70%;26.7%;22.4%
Janna;0;2;0;2;0;0.9;1;0;2.5;2.5;01.00;13;00.45;6.4k;220;41.7%;0%;14.3%
Evelynn;0;2;1;1;50;0.9;1;10;2;8;09.00;141.5;04.38;14.55k;410;75%;41.7%;21.1%
Diana;1;1;1;0;100;0.9;1;10;6;7;03.23;405;09.12;22k;474;85%;50%;25.1%
Jinx;0;1;0;1;0;0.4;1;4;3;7;04.07;379;09.43;16.9k;421;84.6%;30.8%;24.9%
Renekton;0;1;0;1;0;0.4;1;2;4;4;01.50;185;06.04;9.9k;323;60%;20%;19.7%
Miss Fortune;0;1;0;1;0;0.4;1;2;6;3;01.23.00;180;07.07;9.2k;341;83.3%;33.3%;23.1%
Sion;0;1;0;1;0;0.4;1;0;2;4;02.00;248;07.35;10.5k;311;57.1%;0%;20.1%
Nocturne;0;1;0;1;0;0.4;1;2;4;5;02.15;163;04.19;12.8k;329;87.5%;25%;20.1%
Anivia;1;0;0;0;-;0.4;-;-;-;-;-;-;-;-;-;-;-;-
Riven;1;0;0;0;-;0.4;-;-;-;-;-;-;-;-;-;-;-;-
Malphite;0;1;0;1;0;0.4;1;1;4;3;01.00;259;07.32;11.1k;314;57.1%;14.3%;20%
Aurelion Sol;0;1;0;1;0;0.4;1;1;9;6;01.18;244;07.36;11.2k;338;77.8%;11.1%;20.3%
Zilean;0;1;1;0;100;0.4;1;1;0;6;07.00;210;08.29;9.7k;383;77.8%;11.1%;20.8%
Corki;0;1;1;0;100;0.4;1;9;3;9;06.00;325;09.18;18k;486;85.7%;42.9%;24.3%
Ahri;0;1;1;0;100;0.4;1;17;3;12;10.07;260;07.07;18.4k;501;72.5%;42.5%;24.1%
Orianna;0;1;0;1;0;0.4;1;2;6;3;01.23;363;09.32;14.7k;377;83.3%;33.3%;23.4%
Urgot;0;1;0;1;0;0.4;1;3;8;7;01.25;295;08.03;13.4k;365;50%;15%;22.1%
Soraka;0;1;0;1;0;0.4;1;0;4;7;02.15;12;00.33;8.1k;221;77.8%;0%;13.8%
Annie;0;1;0;1;0;0.4;1;1;8;14;02.28;15;00.39;11k;289;75%;5%;15.7%
Darius;0;1;0;1;0;0.4;1;2;4;1;01.15;173;06.38;8.7k;321;75%;50%;21.4%
Jayce;0;1;1;0;100;0.4;1;8;3;7;05.00;225;07.38;13.5k;419;83.3%;44.4%;22.1%
Cassiopeia;0;1;1;0;100;0.4;1;2;3;10;04.00;343;08.21;16.1k;385;92.3%;15.4%;20.9%
;;;;;;;;;;;;;;;;;;
