Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Ahri;1;8;3;5;37.5;10;4;03.28;2;4.5;04.09;283.15.00;08.19;13.38k;388;64.8%;25.3%;22.5%
Udyr;3;4;2;2;50;7.8;3;02.15;2.5;5.5;03.30;196.15.00;05.42;13.48k;373;64.4%;15.6%;20.9%
Kayle;6;1;1;0;100;7.8;1;3;2;7;05.00;283;09.15;13.7k;423;83.3%;25%;21%
Syndra;1;6;5;1;83.3;7.8;3;04.17;1;05.07;09.23;349.33.00;10.19;15.7k;440;66.3%;31.3%;23.4%
Varus;1;6;4;2;66.7;7.8;4;05.07;02.33;05.17;04.21;317;08.29;15.33k;401;66.3%;31.5%;21.9%
Gnar;0;5;2;3;40;5.6;3;0.8;3.2;6.4;02.25;248;06.39;13.52k;327;75%;8.3%;19.3%
Dr. Mundo;1;4;1;3;25;5.6;3;1.5;03.25;04.15;02.02;268.25.00;07.13;13.53k;339;56.8%;16.2%;19.7%
Karma;0;5;3;2;60;5.6;3;2.6;2.8;7.6;04.04;142.4;05.04;10.34k;337;71.8%;18.3%;18.4%
Shen;0;4;0;4;0;4.4;4;1.5;02.25;3;02.00;191.5;06.13;10.2k;305;64.3%;21.4%;19.2%
Ekko;0;4;3;1;75;4.4;2;05.15;2.5;4.5;04.10;231.15.00;08.29;12.48k;426;66.1%;33.9%;22.3%
Pantheon;0;3;3;0;100;3.3;3;06.07;01.33;05.07;08.15;179.07.00;06.34;11.7k;415;52.5%;28.8%;20.1%
Jax;0;3;2;1;66.7;3.3;1;3;04.33;7;02.31;325.07.00;08.34;15.8k;406;60%;18%;21.4%
Anivia;1;2;0;2;0;3.3;2;4;2;4.5;04.25;316.5;09.11;13.55k;390;85%;40%;24.3%
Maokai;0;3;0;3;0;3.3;2;00.33;05.07;03.33;01.19;164.33.00;05.17;8.97k;282;91.7%;8.3%;18.4%
Miss Fortune;0;2;0;2;0;2.2;2;3;4.5;1.5;01.00;214;08.05;9.8k;350;81.8%;54.5%;23.6%
Cho'Gath;0;2;2;0;100;2.2;1;2.5;2.5;7;04.20;215.5;07.24;12.6k;424;54.3%;14.3%;20.3%
Draven;1;1;0;1;0;2.2;1;5;3;10;05.00;290;07.52;17.1k;443;83.3%;27.8%;23.6%
Yasuo;0;2;1;1;50;2.2;2;4.5;2.5;5.5;04.00;262.5;8;13.15k;401;83.3%;37.5%;22.6%
Tristana;0;2;0;2;0;2.2;2;3.5;3;2;02.23;327;09.01;14.75k;406;61.1%;38.9%;23.3%
Nunu;0;2;2;0;100;2.2;1;1.5;1.5;10.5;08.00;100;03.41;10.5k;358;82.8%;10.3%;18.2%
Rengar;0;2;1;1;50;2.2;2;1;1;6.5;07.50;102.5;03.38;10.35k;341;65.2%;8.7%;18.1%
Olaf;1;1;1;0;100;2.2;1;4;2;9;06.50;134;03.44;13.9k;357;72.2%;22.2%;18.5%
Sejuani;0;1;1;0;100;1.1;1;2;1;9;11.00;129;04.51;10.9k;381;55%;10%;18.6%
Rammus;0;1;0;1;0;1.1;1;1;3;12;04.33;348;07.22;17.7k;367;65%;5%;19.6%
Vayne;0;1;1;0;100;1.1;1;7;2;4;05.50;296;09.08;15.1k;443;73.3%;46.7%;21.9%
Kennen;0;1;0;1;0;1.1;1;1;1;2;03.00;305;07.43;12.8k;312;75%;25%;20.2%
Cassiopeia;0;1;1;0;100;1.1;1;4;2;5;04.50;479;10.31;20.7k;428;90%;40%;24.8%
Ashe;0;1;0;1;0;1.1;1;0;4;2;00.50;231;08.02;9.8k;340;40%;0%;22%
Evelynn;0;1;0;1;0;1.1;1;0;2;1;00.50;102;03.06;8.5k;255;50%;0%;16.7%
Nocturne;0;1;0;1;0;1.1;1;2;2;2;02.00;87;03.42;7.9k;310;100%;50%;20.6%
Rumble;0;1;1;0;100;1.1;1;1;2;11;06.00;157;05.29;12.6k;393;85.7%;7.1%;19.7%
