Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Rammus;0;5;4;1;80;4.5;3;1.8;2;7.6;05.10;241.6;07.37;12.4k;358;61%;11.7%;19.4%
Jhin;0;5;3;2;60;4.5;2;2.8;1;6.6;09.40;365.8;09.27;16.78k;407;75.8%;22.6%;22.5%
Karthus;4;1;1;0;100;4.5;1;4;3;13;06.07;313;08.46;15.8k;427;94.4%;22.2%;21.6%
Hecarim;4;0;0;0;-;3.6;-;-;-;-;-;-;-;-;-;-;-;-
Sion;0;4;2;2;50;3.6;1;3;04.15;04.25;02.33;240.5;07.28;12.05k;345;59.2%;24.5%;20.1%
Sejuani;0;4;0;4;0;3.6;1;01.25;03.15;03.25;02.04;130.5;04.09;9.88k;309;81.8%;22.7%;19.8%
Olaf;0;3;1;2;33.3;2.7;2;04.33;5;3;01.47;268.07.00;07.37;14k;364;55%;32.5%;21.1%
Ashe;0;3;1;2;33.3;2.7;2;02.07;05.33;4;01.06;213.33.00;07.29;10.53k;340;60.7%;17.9%;19.7%
Janna;0;3;2;1;66.7;2.7;1;00.33;01.07;10;15.50;26.33.00;01.28;8.47k;282;68.9%;2.2%;15.4%
Ahri;0;3;0;3;0;2.7;3;03.07;03.33;05.07;02.20;294;08.48;12.83k;370;61.1%;22.2%;22.9%
Kayle;0;2;1;1;50;1.8;1;2;1.5;7.5;06.33;339.5;07.47;17.5k;385;76%;16%;20.9%
Jayce;0;2;0;2;0;1.8;2;1.5;2;1.5;01.50;306.5;09.38;12.35k;378;66.7%;33.3%;24.5%
Tristana;0;2;0;2;0;1.8;2;1;3.5;1.5;01.11;172.5;07.02;7.85k;319;45.5%;18.2%;21.7%
Ekko;0;2;0;2;0;1.8;2;0;2.5;0;00.00;263;09.31;10.2k;346;0%;0%;23.5%
Varus;0;2;1;1;50;1.8;2;5.5;3.5;8;04.26;226;07.07;12k;376;75%;30.6%;20.5%
Vayne;0;1;0;1;0;0.9;1;0;5;2;00.40;181;06.59;8.1k;295;33.3%;0%;19.2%
