Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Cassiopeia;1;7;3;4;42.9;3.7;3;4;02.14;3;03.27;347;09.19;15.51k;393;71%;40.6%;22.5%
Rammus;0;7;2;5;28.6;3.3;3;01.26;02.57;05.29;02.39;288;07.36;13.49k;345;78.2%;10.9%;20.7%
Kennen;0;7;6;1;85.7;3.3;4;03.29;02.11;08.14;07.07;187.43.00;5.3;12.94k;366;72.7%;20.9%;19.4%
Rumble;0;6;3;3;50;2.8;5;1;02.33;4.5;02.36;188.07.00;05.37;13k;344;56.9%;10.3%;19.4%
Karma;0;5;2;3;40;2.3;4;1.2;2.8;4.4;02.00;249.4;07.41;12.72k;378;65.1%;14%;21.6%
Ahri;0;4;1;3;25;1.9;3;01.25;03.15;03.25;02.04;322;08.32;14.9k;385;66.7%;18.5%;22.6%
Shen;0;4;2;2;50;1.9;2;2.5;4;12.15;03.56;108.15.00;03.05;11.73k;289;77%;13.5%;16.2%
Kassadin;0;4;3;1;75;1.9;4;3.5;03.15;6.5;04.04;309.25.00;08.34;15.18k;390;58.8%;20.6%;21.2%
Malphite;0;3;0;3;0;1.4;3;01.07;2;3;02.23;241;06.57;11.1k;303;78.6%;14.3%;20.1%
Vayne;0;3;2;1;66.7;1.4;3;3;01.33;3;04.50;268.33.00;08.34;13.43k;398;47.4%;23.7%;21.2%
Olaf;0;3;2;1;66.7;1.4;1;3;03.07;08.07;04.00;325.07.00;07.51;15.9k;368;74.4%;20.9%;20.3%
Syndra;0;2;1;1;50;0.9;2;2.5;1;3;05.50;284;09.32;12.35k;405;61.1%;27.8%;21.5%
Nocturne;0;2;1;1;50;0.9;2;2.5;3;6;03.23;127.5;04.35;10.9k;338;73.9%;21.7%;19.4%
Udyr;0;2;0;2;0;0.9;1;0.5;3;2;01.23;115;03.44;10.05k;301;55.6%;11.1%;17.9%
Jarvan IV;0;2;2;0;100;0.9;2;1.5;1.5;4.5;04.00;298;08.15;13.85k;379;52.2%;13%;20.1%
Jinx;0;2;0;2;0;0.9;1;0;1.5;0.5;00.33;273;10.32;10.05k;365;50%;0%;24.4%
Pantheon;0;1;0;1;0;0.5;1;0;6;0;00.00;169;06.53;7.4k;286;0%;0%;20.2%
Orianna;0;1;1;0;100;0.5;1;3;2;8;05.50;441;7.7;21.4k;374;100%;27.3%;21.6%
Draven;0;1;0;1;0;0.5;1;0;1;2;02.00;270;08.13;12k;344;66.7%;0%;22.6%
Janna;0;1;1;0;100;0.5;1;1;0;15;16.00;14;00.47;9.3k;313;94.1%;5.9%;15.6%
Vel'Koz;0;1;0;1;0;0.5;1;2;3;0;01.07;285;09.24;11.3k;366;66.7%;66.7%;23.3%
Anivia;0;1;0;1;0;0.5;1;0;2;0;00.00;218;09.38;7.9k;325;0%;0%;22.6%
Dr. Mundo;0;1;0;1;0;0.5;1;1;0;2;03.00;253;06.09;14.9k;335;75%;25%;20.9%
Fizz;0;1;1;0;100;0.5;1;1;3;6;02.33;251;07.56;13k;392;53.8%;7.7%;19.5%
Sejuani;0;1;0;1;0;0.5;1;0;1;8;08.00;180;05.07;12.3k;319;66.7%;0%;18.8%
Evelynn;0;1;0;1;0;0.5;1;0;5;3;01.00;123;03.35;10.9k;261;60%;0%;15.6%
Yasuo;0;1;0;1;0;0.5;1;1;7;8;01.29;268;08.17;11.7k;357;81.8%;9.1%;21.3%
Malzahar;0;1;1;0;100;0.5;1;5;1;8;13.00;356;07.07;19.9k;373;68.4%;26.3%;19.9%
Hecarim;0;1;0;1;0;0.5;1;0;2;2;01.00;308;08.32;12.4k;319;66.7%;0%;21.1%
Twitch;0;1;0;1;0;0.5;1;1;3;2;01.00;178;07.03;8k;298;75%;25%;20.2%
Kha'Zix;0;1;0;1;0;0.5;1;0;4;3;01.15;124;04.58;8.3k;307;60%;0%;20.3%
Rengar;0;1;0;1;0;0.5;1;3;3;4;02.33;148;04.07;12.7k;315;63.6%;27.3%;18.5%
